Day,January,February,March,April,May,June,July,August,September,October,November,December
1,08:31,09:34,11:04,12:51,14:29,15:43,15:55,14:57,13:22,11:41,09:59,08:43
2,08:32,09:37,11:07,12:54,14:32,15:45,15:54,14:55,13:19,11:37,09:56,08:42
3,08:33,09:40,11:11,12:58,14:35,15:46,15:53,14:52,13:16,11:34,09:53,08:40
4,08:34,09:43,11:14,13:01,14:38,15:48,15:52,14:49,13:12,11:31,09:50,08:39
5,08:35,09:46,11:18,13:04,14:41,15:49,15:51,14:46,13:09,11:27,09:47,08:37
6,08:37,09:49,11:21,13:08,14:44,15:50,15:50,14:44,13:06,11:24,09:44,08:36
7,08:38,09:52,11:24,13:11,14:46,15:51,15:49,14:41,13:02,11:20,09:41,08:35
8,08:39,09:55,11:28,13:15,14:49,15:53,15:47,14:38,12:59,11:17,09:38,08:33
9,08:41,09:58,11:31,13:18,14:52,15:54,15:46,14:35,12:56,11:14,09:35,08:32
10,08:43,10:01,11:35,13:21,14:55,15:54,15:45,14:32,12:52,11:10,09:32,08:31
11,08:44,10:04,11:38,13:25,14:58,15:55,15:43,14:29,12:49,11:07,09:29,08:30
12,08:46,10:08,11:42,13:28,15:00,15:56,15:41,14:26,12:45,11:04,09:27,08:29
13,08:48,10:11,11:45,13:31,15:03,15:57,15:40,14:23,12:42,11:00,09:24,08:28
14,08:50,10:14,11:49,13:35,15:05,15:57,15:38,14:20,12:39,10:57,09:21,08:28
15,08:52,10:17,11:52,13:38,15:08,15:58,15:36,14:17,12:35,10:53,09:19,08:27
16,08:54,10:20,11:56,13:41,15:11,15:58,15:34,14:14,12:32,10:50,09:16,08:27
17,08:56,10:24,11:59,13:45,15:13,15:59,15:32,14:11,12:28,10:47,09:13,08:26
18,08:58,10:27,12:02,13:48,15:15,15:59,15:30,14:08,12:25,10:43,09:11,08:26
19,09:01,10:30,12:06,13:51,15:18,15:59,15:28,14:04,12:22,10:40,09:08,08:26
20,09:03,10:34,12:09,13:54,15:20,15:59,15:26,14:01,12:18,10:37,09:06,08:25
21,09:05,10:37,12:13,13:58,15:22,15:59,15:24,13:58,12:15,10:34,09:04,08:25
22,09:08,10:40,12:16,14:01,15:25,15:59,15:22,13:55,12:11,10:30,09:01,08:25
23,09:10,10:44,12:20,14:04,15:27,15:59,15:20,13:52,12:08,10:27,08:59,08:25
24,09:13,10:47,12:23,14:07,15:29,15:59,15:17,13:48,12:05,10:24,08:57,08:26
25,09:15,10:50,12:27,14:10,15:31,15:59,15:15,13:45,12:01,10:21,08:55,08:26
26,09:18,10:54,12:30,14:14,15:33,15:58,15:13,13:42,11:58,10:17,08:53,08:26
27,09:20,10:57,12:34,14:17,15:35,15:58,15:10,13:39,11:54,10:14,08:51,08:27
28,09:23,11:00,12:37,14:20,15:37,15:57,15:08,13:36,11:51,10:11,08:49,08:27
29,09:26,,12:40,14:23,15:38,15:57,15:05,13:32,11:48,10:08,08:47,08:28
30,09:29,,12:44,14:26,15:40,15:56,15:03,13:29,11:44,10:05,08:45,08:29
31,09:31,,12:47,,15:42,,15:00,13:26,,10:02,,08:30
